year	sumtotal
1889	66375
1890	65826
1891	46692
1892	84663
1893	66273
1894	65970
1895	60685
1896	58373
1897	75487
1898	83202
1899	73570
1900	69223
1901	65049
1902	77422
1903	119515
1904	172289
1905	203754
1906	243795
1907	220491
1908	225402
1909	219416
1910	231811
1911	217614
1912	212953
1913	227945
1914	234230
1915	262434
1916	259902
1917	236962
1918	231301
1919	224220
1920	214115
1921	187705
1922	209648
1923	235567
1924	254776
1925	303003
1926	307405
1927	305824
1928	348329
1929	337181
1930	341913
1931	488464
1932	356659
1933	377149
1934	397263
1935	409450
1936	415610
1937	406568
1938	414135
1939	418385
1940	412911
1941	424942
1942	428320
1943	419047
1944	403205
1945	408921
1946	420189
1947	428138
1948	448830
1949	440593
1950	444204
1951	441749
1952	659369
1953	430848
1954	439777
1955	445213
1956	447572
1957	427531
1958	403257
1959	490478
1960	445869
1961	437300
1962	452380
1963	417941
1964	498950
1965	454701
1966	471975
1967	476280
1968	472972
1969	517431
1970	576335
1971	542935
1972	580233
1973	599149
1974	667192
1975	700038
1976	758949
1977	710396
1978	716160
1979	681723
1980	705490
1981	700344
1982	722767
1983	677566
1984	776755
1985	696668
1986	723495
1987	735372
1988	766073
1989	744529
1990	761868
1991	798749
1992	849160
1993	854657
1994	774506
1995	768033
1996	802423
1997	794687
1998	803141
1999	855229
2000	974372
2001	837552
2002	757898
2003	828759
2004	780442
2005	994754
2006	1059180
2007	1061218
2008	895593
2009	855381
2010	777872
2011	769065
2012	888740
2013	253592
